channel,snr,mcs,seq_number
pdc,0.50,0,6042
pdc,0.50,0,6043
pcc_err,0.50,0,6054
pcc_err,0.50,0,6056
pdc,0.50,0,6064
pcc_err,0.50,0,6065
pcc_err,0.50,0,6065
pcc_err,0.50,0,6071
pcc_err,0.50,0,6071
pdc,0.50,0,6087
pdc,0.50,0,6100
pcc_err,0.50,0,6101
pcc_err,0.50,0,6101
pdc,0.50,0,6109
pcc_err,0.50,0,6110
pcc_err,0.50,0,6110
pcc_err,0.50,0,6110
pdc,0.50,0,6116
pcc_err,0.50,0,6120
pcc_err,0.50,0,6120
pdc,0.50,0,6125
pcc_err,0.50,0,6137
pdc,0.50,0,6142
pcc_err,0.50,0,6160
pcc_err,0.50,0,6166
pdc,0.50,0,6169
pcc_err,0.50,0,6170
pdc,0.50,0,6171
pdc,0.50,0,6174
pcc_err,0.50,0,6213
pcc_err,0.50,0,6213
pcc_err,0.50,0,6213
pcc_err,0.50,0,6278
pcc_err,0.50,0,6278
pcc_err,0.50,0,6278
pcc_err,0.50,0,6278
pcc_err,0.50,0,6278
pcc_err,0.50,0,6278
pcc_err,0.50,0,6374
pdc,0.50,0,6378
pdc,0.50,0,6394
pcc_err,0.50,0,6395
pdc,0.50,0,6396
pdc,0.50,0,6397
pdc,0.50,0,6398
pcc_err,0.50,0,6399
pdc,0.50,0,6404
pdc,0.50,0,6405
pdc,0.50,0,6407
pcc_err,0.50,0,6408
pcc_err,0.50,0,6408
pdc,0.50,0,6414
pcc_err,0.50,0,6415
pdc,0.50,0,6424
pdc,0.50,0,6426
pcc_err,0.50,0,6427
pcc_err,0.50,0,6449
pdc,0.50,0,6458
pcc_err,0.50,0,6461
pdc,0.50,0,6463
pcc_err,0.50,0,6464
pdc,0.50,0,6467
pcc_err,0.50,0,6468
pcc_err,0.50,0,6491
pcc_err,0.50,0,6505
pdc,0.50,0,6512
